#,City,Country,Continent,System,Opening,Network length (km),Stations,Stations,Lines,Avg. station distance (m),Avg. line length,Stations per line,Daily ridership,Ridership per km,Annual ridership,Ridership year,Population,Usage,Length per resident,Fare (EUR),Tracks,Train width,Gauge,Power supply,Voltage,Rubber-tyred,Driverless,Driverless since,Platform screen doors,Aircon trains,Walk-through,Remarks
104,Naples,Italy,Europe,Metropolitana,28 Mar 1993,34.8 km,33,29,3,"1,160 m",11.6,11,"95,900","2,760",35 million,2011,2.25 million,2.1 %,15.5 mm,,left,,1435,overhead wire,1500,,,,,,,"M3 and M4 not included (M3: 12.3 km, 12 sta. M4: 8.3 km, 8 sta.)"
105,Lima,Peru,America,Tren Urbano,5 Apr 2012,34.4 km,26,26,1,"1,376 m",34.4,26,,,,,8.01 million,,4.3 mm,0.29 EUR,,,,,,,,,,,,
106,Porto Alegre,Brazil,America,Metro,2 Mar 1985,33.8 km,17,17,1,"2,112 m",33.8,17,,,,,3.92 million,,8.6 mm,,right,,,,,,,,,,,According to official website
107,Budapest,Hungary,Europe,Metro,2 May 1896,33.0 km,42,40,3,846 m,11,14,"827,000","25,100",302 million,2011,1.68 million,24.6 %,19.6 mm,0.95 EUR,right,"2.70, 2.22 (line 1)",1435,"third rail, overhead wire (Line M1)","825, 600 (Line M1)",,,,,,,
108,Amsterdam,Netherlands,Europe,Metro,16 Oct 1977,32.7 km,33,33,4,"1,128 m",8.2,8.3,"233,000","7,120",85 million,2009,1.03 million,11.3 %,31.7 mm,2.09 EUR,right,3,1435,third rail,750,,,,,M5 type train sets,M5 type train sets,"Sneltram not included (9.8 km, 19 stations; 'Metros in Holland')"
109,Brussels,Belgium,Europe,Metro,20 Sep 1976,32.2 km,61,59,3,555 m,10.7,20.3,"364,000","11,300",133 million,2009,1.74 million,10.5 %,18.5 mm,1.53 EUR,right (left on lines 1 and 6 between Midi and Roi Baudouin),2.7,1435,third rail,900,,,,,,line 1,"Premetro tunnels not included, 11 stations"
110,Lyon,France,Europe,Metro,28 Apr 1978,31.8 km,44,40,4,795 m,7.9,11,"704,000","22,100",257 million,2009,1.42 million,24.8 %,22.4 mm,1.60 EUR,left,2.9,1435,third rail,750,yes,"line D/Maggaly, rubber-tyred, no PSDs",1991,,,,
111,Valencia,Spain,Europe,Metro,3 Oct 1988,31.8 km,38,37,3,909 m,10.6,12.7,,,,,"810,000",,39.3 mm,,right,2.55,1000,overhead wire,1500,,,,,yes,yes,Full metro section length unknown.
112,Bursa,Turkey,Asia,Bursaray,19 Aug 2002,31.5 km,31,31,2,"1,086 m",15.8,15.5,,,,,1.49 million,,21.1 mm,,,,,,,,,,,,,
113,Mashhad,Iran,Asia,Urban railway,10 Oct 2011,31.5 km,30,30,1,"1,086 m",31.5,30,,,,,2.47 million,,12.8 mm,,,,,,,,,,,,,
114,Monterrey,Mexico,America,Metro,25 Apr 1991,31.5 km,32,31,2,"1,050 m",15.8,16,"378,000","12,000",138 million,2009,3.71 million,5.1 %,8.5 mm,,right,,,,,yes,,,,,,
115,Kyoto,Japan,Asia,Subway,1 Apr 1981,31.3 km,32,31,2,"1,043 m",15.6,16,"345,000","11,000",126 million,2008,1.8 million,9.6 %,17.4 mm,,left,2.8,1435,overhead wire,1500,,,,Tozai line,,yes,
116,Medellin,Colombia,America,Metro,30 Nov 1995,31.3 km,28,27,2,"1,204 m",15.6,14,"466,000","14,900",170 million,2011,3.3 million,7.1 %,9.5 mm,,,3.2,1435,overhead wire,1500,,,,,,,"Metro Cable not included, 4 stations"
117,Cleveland,USA,America,Rapid Transit,15 Mar 1955,31.0 km,18,18,1,"1,824 m",31,18,"16,400",530,6 million,2011,1.89 million,0.4 %,16.4 mm,,right,3.15,1435,overhead wire,600,,,,,,,2 Light Rail lines not included
118,Kobe,Japan,Asia,Subway,13 Mar 1977,30.6 km,26,24,2,"1,275 m",15.3,13,"332,000","10,800",121 million,2008,,,,,left,2.79,1435,"overhead wire, third rail (Portliner)","1500, 600 (Portliner)",Port Liner and Rokko Liner,"Port Liner and Rokko Liner, rubber-tyred",1981,Port Liner and Rokko Liner,,yes,"According to Mr. Osamu Abe. Portliner, Rokko lines not included (15 st)"
119,Shijiazhuang,China,Asia,Metro,14 Jun 2017,30.3 km,27,26,2,"1,212 m",15.1,13.5,,,,,,,,,,,,,,,,,,,,
120,Xiamen,China,Asia,Metro,31 Dec 2017,30.3 km,24,24,1,"1,317 m",30.3,24,,,,,,,,,,,,,,,,,,,,
121,Fukuoka,Japan,Asia,Subway,26 Jul 1981,29.8 km,35,34,3,931 m,9.9,11.7,"340,000","11,400",124 million,2007,2.79 million,6.1 %,10.7 mm,,left,2.86,1067,overhead wire,1500,,,,yes,,yes,According to Mr. Osamu Abe
122,Hyderabad,India,Asia,Metro Rail,28 Nov 2017,29.8 km,25,24,2,"1,296 m",14.9,12.5,,,,,6.38 million,,4.7 mm,,,,,,,,,,,,,Source: Metro Report.
123,Kolkata,India,Asia,Metro Railway,24 Oct 1984,29.7 km,24,24,1,"1,291 m",29.7,24,"474,000","16,000",173 million,2009,14.8 million,1.6 %,2.0 mm,,right,2.74,,,,,,,,,,"25 km wikipedia, 27.50 km urbanrail ???"
124,Dortmund,Germany,Europe,Stadtbahn,17 May 1976,29.5 km,37,37,3,866 m,9.8,12.3,,,,,,,,,right,2.65,1435,overhead wire,600,,H-Bahn,1984,,,yes,Rhein-Ruhr Stadtbahn Album 2
125,Sendai,Japan,Asia,Subway,15 Jul 1987,28.7 km,30,29,2,"1,025 m",14.4,15,"159,000","5,540",58 million,2008,2.25 million,3.5 %,12.8 mm,,left,2.88,1067,overhead wire,1500,,,,,,yes,
126,Warsaw,Poland,Europe,Metro,7 Apr 1995,28.7 km,28,27,2,"1,104 m",14.4,14,"384,000","13,400",140 million,2011,1.71 million,11.2 %,16.8 mm,0.47 EUR,right,,1435,third rail,825,,,,,,yes,
127,Belo Horizonte,Brazil,America,Metro,1 Aug 1986,28.1 km,19,19,1,"1,563 m",28.1,19,,,,,5.58 million,,5.0 mm,,right,,,,,,,,,,,According to official website
128,The Hague,Netherlands,Europe,RandstadRail,16 Oct 2004,27.9 km,30,30,3,"1,033 m",9.3,10,,,,,,,,,right,,,,,,,,,,,Full metro section length unknown (47 km?)
129,Toulouse,France,Europe,Metro,26 Jun 1993,27.5 km,38,37,2,764 m,13.8,19,"282,000","10,300",103 million,2011,"850,000",16.6 %,32.4 mm,,right,2.08,2060,third rail,750,yes,VAL,1993,VAL,,yes,
130,Tbilisi,Georgia,Asia,Metro,11 Jan 1966,27.3 km,23,22,2,"1,300 m",13.6,11.5,"241,000","8,830",88 million,2008,1.1 million,11.0 %,24.8 mm,,right,,1520,third rail,825,,,,,,,According to Mr. Yuri Popov
131,Seattle,USA,America,Light Rail,18 Jul 2009,27.2 km,16,16,1,"1,813 m",27.2,16,,,,,3.07 million,,8.9 mm,,right,3.13 (monorail),,,,,,,,yes,,Downtown tunnel section considered as a full metro
132,Fuzhou,China,Asia,Metro,18 May 2016,24.8 km,21,21,1,"1,240 m",24.8,21,,,,,,,,,,,,,,,,,,,,
133,Santo Domingo,Dominican Republic,America,Metro,30 Jan 2009,24.8 km,30,29,2,886 m,12.4,15,"79,500","3,200",29 million,2011,2.15 million,1.8 %,11.5 mm,,,,1435,,,,,,,yes,,
134,Baltimore,USA,America,Metro Subway,21 Nov 1983,24.5 km,14,14,1,"1,885 m",24.5,14,"49,300","2,010",18 million,2011,2.26 million,1.1 %,10.8 mm,,right,3.05,1435,third rail,700,,,,,yes,,
135,Shiraz,Iran,Asia,Metro,11 Oct 2014,24.5 km,15,15,1,"1,750 m",24.5,15,,,,,1.24 million,,19.8 mm,,,,,,,,,,,,,
136,Fortaleza,Brazil,America,Metro,15 Jun 2012,24.1 km,19,19,1,"1,339 m",24.1,19,,,,,3.39 million,,7.1 mm,,,,,,,,,,,yes,,
137,Guadalajara,Mexico,America,Metro,1 Sep 1989,24.0 km,29,28,2,889 m,12,14.5,,,,,4.2 million,,5.7 mm,,right,,,,,,,,,,,
138,Stuttgart,Germany,Europe,Stadtbahn,10 Jun 1966,24.0 km,19,17,2,"1,412 m",12,9.5,,,,,,,,,right,2.65,1435,overhead wire,750,,,,,yes,yes,24 km underground. (Schnellbahnen in Deutschland)
139,Daejeon,South Korea,Asia,Subway,16 Mar 2006,22.6 km,22,22,1,"1,076 m",22.6,22,"104,000","4,610",38 million,2011,,,,,,,,,,,,,yes,,,
140,Pyongyang,North Korea,Asia,Metro,6 Sep 1973,22.5 km,16,15,2,"1,607 m",11.3,8,"98,600","4,380",36 million,2009,,,,,,2.7,1435,third rail,825,,,,,,,
141,Sydney,Australia,Oceania,Cityrail,20 Dec 1926,22.1 km,14,14,3,"2,005 m",7.4,4.7,,,,,4.33 million,,5.1 mm,2.92 EUR,left,,,,,,,,,yes,,Only underground stations in downtown
142,Marseille,France,Europe,Metro,26 Nov 1977,21.8 km,30,28,2,779 m,10.9,15,"205,000","9,430",75 million,2011,1.4 million,7.3 %,15.6 mm,,right,2.6,1435,third rail,750,yes,,,,,,
143,Oporto,Portugal,Europe,Metro,7 Dec 2002,21.7 km,16,15,2,"1,550 m",10.9,8,,,,,,,,,right,2.65,1435,overhead wire,750,,,,,yes,yes,"16 undeground stations, 9,5 km underground. Total 70km81st Wiki"
144,Bochum,Germany,Europe,Stadtbahn,26 May 1979,21.5 km,29,27,2,797 m,10.8,14.5,,,,,,,,,right,2.65,1435,overhead wire,660,,,,,,,Rhein-Ruhr Stadtbahn Album 2
145,Harbin,China,Asia,Subway,26 Sep 2013,21.5 km,22,21,2,"1,075 m",10.8,11,,,,,3.62 million,,5.9 mm,,,,,,,,,,,,,
146,Copenhagen,Denmark,Europe,Metro,19 Oct 2002,21.0 km,22,22,2,"1,050 m",10.5,11,"148,000","7,050",54 million,2011,1.08 million,6.8 %,19.4 mm,2.81 EUR,right,2.65,1435,third rail,750,,all metro lines,2002,all underground stations,all metro and S-Tog trains,yes,According to official website
147,Frankfurt,Germany,Europe,U-Bahn,4 Oct 1968,20.5 km,31,27,3,732 m,6.8,10.3,,,,,,,,2.30 EUR,right,2.65,1435,overhead wire,750,,,,,,yes,"20.40 km, 27 stations underground ('Schnellbahnen in Deutschland')"
148,Edmonton,Canada,America,Light Rail,22 Apr 1978,20.4 km,15,15,1,"1,457 m",20.4,15,,,,,1.06 million,,19.2 mm,,right,,,,,,,,,,,
149,Salvador,Brazil,America,Metro,11 Jun 2014,20.3 km,15,14,2,"1,562 m",10.1,7.5,,,,,3.48 million,,5.8 mm,,,,1435,,,,,,,yes,,
150,Essen,Germany,Europe,Stadtbahn,5 Oct 1967,20.2 km,27,27,3,842 m,6.7,9,,,,,,,,,right,2.65,1435,overhead wire,750,,,,,,yes,Rhein-Ruhr Stadtbahn Album 1
151,Gwangju,South Korea,Asia,Subway,28 Apr 2004,20.1 km,20,20,1,"1,058 m",20.1,20,"49,300","2,450",18 million,2011,1.44 million,1.7 %,14.0 mm,,,,,,,,,,yes,,,
152,Izmir,Turkey,Asia,Metro,22 May 2000,20.1 km,17,17,1,"1,256 m",20.1,17,"173,000","8,590",63 million,2011,2.59 million,3.3 %,7.8 mm,,,2.65,1435,third rail,750,,,,,,,
153,Nizhny Novgorod,Russia,Europe,Metro,20 Nov 1985,18.9 km,15,14,2,"1,454 m",9.4,7.5,"74,000","3,910",27 million,2010,,,,,right,2.7,1520,third rail,825,,,,,,,According to Mr. Yuri Popov
154,Hanover,Germany,Europe,Stadtbahn,28 Sep 1975,18.6 km,21,17,3,"1,033 m",6.2,7,,,,,,,,,right,2.4,1435,overhead wire,600,,,,,,yes,"18.60 km, 17 stations underground ('Schnellbahnen in Deutschland')"
155,Hiroshima,Japan,Asia,Monorail,20 Aug 1994,18.4 km,22,22,1,876 m,18.4,22,"49,300","2,680",18 million,2005,2.04 million,1.2 %,9.0 mm,,left,,,,,yes,,,,,,According to Mr. Osamu Abe
156,Mecca,Saudi Arabia,Asia,Metro,13 Nov 2010,18.1 km,9,9,1,"2,263 m",18.1,9,,,,,1.38 million,,13.1 mm,,right,,1435,third rail,1500,,,,yes,yes,yes,
157,Kochi,India,Asia,Metro,17 Jun 2017,18.0 km,16,16,1,"1,200 m",18,16,"36,400","2,020",13.289 million,2017,,,,,left,,1435,third rail,750,,,,,yes,"yes, 3-car",Kochi Metro Rail Ltd via email
158,Kryvyi Rih,Ukraine,Europe,Metrotram,26 Dec 1986,18.0 km,12,12,1,"1,636 m",18,12,,,,,,,,,,2.62,,,,,,,,,,
159,Seville,Spain,Europe,Metro,2 Apr 2009,18.0 km,21,21,1,900 m,18,21,,,,,,,,,,2.6,,,,,,,Line 1,,,
160,Charleroi,Belgium,Europe,Metro Leger,21 Jun 1976,17.5 km,23,23,4,921 m,4.4,5.8,,,,,,,,,,,,,,,,,,,,"total length 33,3 km, 12 underground stations, 23 full metro stations. Wiki"
161,San Juan,Puerto Rico,America,Tren Urbano,6 Jun 2005,17.2 km,16,16,1,"1,147 m",17.2,16,"30,100","1,750",11 million,2011,2.69 million,0.6 %,6.4 mm,,,,,,,,,,,,,
162,Novosibirsk,Russia,Asia,Metro,7 Jan 1986,16.4 km,13,12,2,"1,487 m",8.2,6.5,"208,000","12,700",76 million,2011,1.39 million,7.5 %,11.8 mm,,right,,1520,third rail,825,,,,,,,According to Mr. Yuri Popov
163,Tama,Japan,Asia,Monorail,27 Nov 1998,16.0 km,19,19,1,889 m,16,19,,,,,,,,,left,,,,,,,,,,yes,
164,Kazan,Russia,Europe,Metro,27 Aug 2005,15.8 km,10,10,1,"1,756 m",15.8,10,"74,000","4,680",27 million,2012,1.12 million,3.3 %,14.1 mm,,right,,,,,,,,,,,According to Mr. Yuri Popov
165,Chiba,Japan,Asia,Monorail,28 Mar 1988,15.5 km,18,18,2,969 m,7.8,9,,,,,,,,,left,,,,,,,,,,,
166,Duisburg,Germany,Europe,Stadtbahn,11 Jul 1992,14.3 km,13,13,2,"1,304 m",7.2,6.5,,,,,,,,,right,2.65,,,,,,,,,yes,Rhein-Ruhr Stadtbahn Album 1
167,Lausanne,Switzerland,Europe,Metro,24 May 1991,13.7 km,29,28,2,507 m,6.8,14.5,,,,,,,,,,2.65,,,,line m2,line m2,2008,Line m2,,yes,"Only m2 is a full metro (27.10.2008: 5.9 km, 14 sta). Line m1: 3 underground stations"
168,Panama City,Panama,America,Metro,5 Apr 2014,13.7 km,13,13,1,"1,142 m",13.7,13,,,,,,,,,,,,,,,,,,,,
169,Adana,Turkey,Asia,Metro,18 Mar 2009,13.5 km,13,13,1,"1,125 m",13.5,13,,,,,1.29 million,,10.5 mm,,,,,,,,,,,,,
170,Algiers,Algeria,Africa,Metro,1 Nov 2011,13.5 km,14,14,1,"1,038 m",13.5,14,,,,,3.35 million,,4.0 mm,,,,1435,third rail,750,,,,,yes,yes,
171,Turin,Italy,Europe,Metropolitana,4 Feb 2006,13.4 km,21,21,1,670 m,13.4,21,"90,400","6,750",33 million,2011,1.65 million,2.7 %,8.1 mm,,right,2.08,,,,yes,VAL,2006,VAL,yes,yes,
172,Wuppertal,Germany,Europe,Schwebebahn,1 Mar 1901,13.3 km,20,20,1,700 m,13.3,20,,,,,,,,,right,2.2,,overhead rail,600,,,,,,,
173,Brescia,Italy,Europe,Metro,22 Dec 2012,13.1 km,17,17,1,819 m,13.1,17,,,,,,,,,,,,,,,metro,2012,,,,According to official website
174,Duesseldorf,Germany,Europe,Stadtbahn,4 Oct 1981,13.0 km,20,19,2,721 m,6.5,10,,,,,,,,,right,2.65,1435,overhead wire,600,,,,,,yes,Rhein-Ruhr Stadtbahn Album 1
175,Guiyang,China,Asia,Metro,28 Dec 2017,12.8 km,10,10,1,"1,422 m",12.8,10,,,,,,,,,,,,,,,,,,,,
176,Naha,Japan,Asia,Monorail,10 Aug 2003,12.8 km,15,15,1,914 m,12.8,15,,,,,,,,,left,2.98,,,,,,,,,,
177,Yekaterinburg,Russia,Asia,Metro,26 Apr 1991,12.7 km,9,9,1,"1,587 m",12.7,9,"104,000","8,200",38 million,2011,1.31 million,4.0 %,9.7 mm,,right,,,,,,,,,,,
178,Yerevan,Armenia,Asia,Metro,7 Mar 1981,12.1 km,10,10,1,"1,344 m",12.1,10,"46,600","3,850",17 million,2011,1.1 million,2.1 %,11.0 mm,,right,2.7,,,,,,,,,,According to Mr. Yuri Popov
179,Esfahan,Iran,Asia,Urban railway,15 Oct 2015,12.0 km,11,11,1,"1,200 m",12,11,,,,,1.63 million,,7.4 mm,,,,,,,,,,,,,
180,Malaga,Spain,Europe,Metro,30 Jul 2014,12.0 km,17,16,2,800 m,6,8.5,,,,,,,,,,,,,,,,,,,,
181,Samara,Russia,Europe,Metro,26 Dec 1987,11.6 km,10,10,1,"1,289 m",11.6,10,"43,800","3,780",16 million,2011,1.14 million,1.9 %,10.2 mm,,right,,1520,third rail,825,,,,,,,According to Mr. Yuri Popov
182,Glasgow,United Kingdom,Europe,Subway,14 Dec 1896,10.4 km,15,15,1,743 m,10.4,15,"35,600","3,420",13 million,2011,1.16 million,1.5 %,9.0 mm,,left,2.34,1219,third rail,600,,,,,,,
183,Almaty,Kazakhstan,Asia,Metro,1 Jan 2011,10.3 km,9,9,1,"1,293 m",10.3,9,"19,200","1,850",7 million,2012,1.21 million,0.8 %,8.5 mm,,,,,,,,,,,,,
184,Jaipur,India,Asia,Metrorail,3 Jun 2015,9.6 km,9,9,1,"1,200 m",9.6,9,,,,,2.92 million,,3.3 mm,,,,,,,,,,,,,
185,Muelheim,Germany,Europe,Stadtbahn,3 Nov 1979,9.0 km,13,12,2,819 m,4.5,6.5,,,,,,,,,right,2.65,1435,overhead wire,750,,,,,,,Rhein-Ruhr Stadtbahn Album 1
186,Bonn,Germany,Europe,Stadtbahn,22 Mar 1975,9.0 km,12,12,1,818 m,9,12,,,,,,,,,right,2.65,1435,overhead wire,750,,,,,,,"9 km, 12 stations underground. Approx. 17 km metro-like"
187,Rennes,France,Europe,Metro,16 Mar 2002,9.0 km,15,15,1,643 m,9,15,"129,000","14,300",47 million,2011,,,,,right,2.08,,,,yes,VAL,2002,VAL,,yes,
188,Catania,Italy,Europe,Metropolitana,27 Jun 1999,8.8 km,9,9,1,"1,100 m",8.8,9,,,,,,,,,right,2.85,1435,overhead wire,3000,,,,,,,
189,Kitakyushu,Japan,Asia,Monorail,9 Jan 1985,8.8 km,13,13,1,733 m,8.8,13,,,,,,,,,left,,,,,,,,,,yes,
190,Lucknow,India,Asia,Metro,5 Sep 2017,8.4 km,8,8,1,"1,200 m",8.4,8,,,,,,,,,,,,,,,,,,,,Source: Metro Report.
191,Buffalo,USA,America,Metro Rail,18 May 1985,8.4 km,8,8,1,"1,194 m",8.4,8,,,,,1.02 million,,8.2 mm,,right,,,,,,,,,,,Only tunnel section
192,Palma de Mallorca,Spain,Europe,Metro,25 Apr 2007,8.3 km,9,9,1,"1,038 m",8.3,9,,,,,,,,,,2.55,1000,,1500,,,,,,,
193,Valencia,Venezuela,America,Metro,18 Oct 2006,7.7 km,9,9,1,962 m,7.7,9,"57,500","7,470",21 million,2010,"810,000",3.6 %,9.5 mm,,,,,,,,,,,,,
194,Antwerp,Belgium,Europe,Premetro,25 Mar 1975,7.6 km,11,11,2,844 m,3.8,5.5,,,,,,,,,,2.2,1000,overhead wire,600,,,,,,,
195,Dnipro,Ukraine,Europe,Metro,29 Dec 1995,7.1 km,6,6,1,"1,420 m",7.1,6,"24,700","3,470",9 million,2010,,,,,,2.7,1520,third rail,825,,,,,,,According to Mr. Yuri Popov
196,Genoa,Italy,Europe,Metropolitana,13 Jun 1990,7.1 km,8,8,1,"1,014 m",7.1,8,,,,,,,,,right,2.2,1435,overhead wire,750,,,,,,yes,metroitaliane.it
197,Tabriz,Iran,Asia,Metro,28 Aug 2015,7.0 km,6,6,1,"1,400 m",7,6,,,,,,,,,,,,,,,,,,,,
198,Jacksonville,USA,America,Skyway,30 May 1989,6.9 km,6,6,1,"1,380 m",6.9,6,,,,,"990,000",,7.0 mm,,right,2.56,2060,third rail,750,,downtown monorail people mover,1989,,,,
199,Volgograd,Russia,Europe,Metro,5 Nov 1984,6.8 km,6,6,1,"1,360 m",6.8,6,,,,,"980,000",,6.9 mm,,,,,,,,,,,,,"Total system: 22 stations, 17,1 km"
200,Kamakura,Japan,Asia,Monorail,3 Mar 1970,6.6 km,8,8,1,943 m,6.6,8,,,,,,,,,left,,,,,,,,,,,Shonan Monorail.
201,Maracaibo,Venezuela,America,Metro,8 Jun 2009,6.5 km,6,6,1,"1,300 m",6.5,6,,,,,2.07 million,,3.1 mm,,,,,,,,,,,yes,,
202,Las Vegas,USA,America,Monorail,15 Jul 2004,6.2 km,7,7,1,"1,033 m",6.2,7,,,,,1.82 million,,3.4 mm,,right,2.64,,,,,monorail,2004,yes,,,Hotels monorails not included
203,Poznan,Poland,Europe,Fast Tram,1 Mar 1997,6.1 km,6,6,1,"1,220 m",6.1,6,,,,,,,,,,,,,,,,,,,,Rapid Tram
204,Gelsenkirchen,Germany,Europe,Stadtbahn,1 Sep 1984,5.5 km,9,9,1,690 m,5.5,9,,,,,,,,,right,,1000,overhead wire,600,,,,,,,Rhein-Ruhr Stadtbahn Album 2
205,Bielefeld,Germany,Europe,Stadtbahn,21 Sep 1971,5.2 km,7,7,4,"1,733 m",1.3,1.8,,,,,,,,,right,,,,,,,,,,,Full metro section length unknown. Only metro section included
206,Detroit,USA,America,People Mover,Jul 1987,4.8 km,13,13,1,400 m,4.8,13,,,,,4.1 million,,1.2 mm,,right,2.5,1435,third rail,600,,"downtown people mover, LIM technology",1987,,yes,,
207,Pittsburgh,USA,America,T,3 Jul 1985,4.8 km,6,6,1,960 m,4.8,6,,,,,1.84 million,,2.6 mm,,right,,,,,,,,,,,Full metro section length unknown (all lines: 40 km).2.90 is the length of the tunnel section.
208,Ludwigshafen,Germany,Europe,Stadtbahn,29 May 1969,4.0 km,11,11,0,364 m,,,,,,,,,,,right,,,,,,,,,,,Full metro section length unknown.
209,Perugia,Italy,Europe,Minimetro,29 Jan 2008,3.0 km,7,7,1,500 m,3,7,,,,,,,,,,,,,,,Minimetro,2008,,,,
210,Newark,USA,America,Light Rail,26 May 1935,2.2 km,4,4,1,733 m,2.2,4,,,,,,,,,right,,,,,,,,,,,4 underground stations
211,Rouen,France,Europe,Metro,17 Dec 1994,2.2 km,5,5,1,550 m,2.2,5,,,,,,,,,,,,,,,,,,,,5 underground stations
212,Haifa,Israel,Asia,Carmelit,1959,1.8 km,6,6,1,350 m,1.8,6,,,,,1.01 million,,1.7 mm,,,2.4,,,,,,,,,,
